Region,Year,pupil_teacher
East Asia & Pacific,1983,26.58446
East Asia & Pacific,1984,26.07273
East Asia & Pacific,1985,25.98704
East Asia & Pacific,1986,25.56154
East Asia & Pacific,1987,25.15158
East Asia & Pacific,1988,24.57088
East Asia & Pacific,1989,24.00196
East Asia & Pacific,1990,23.51734
East Asia & Pacific,1991,23.3779
East Asia & Pacific,1992,23.41051
East Asia & Pacific,1993,23.45646
East Asia & Pacific,1994,23.5636
East Asia & Pacific,1995,23.70778
East Asia & Pacific,1996,23.93948
East Asia & Pacific,1997,24.15827
East Asia & Pacific,1998,24.4615
East Asia & Pacific,1999,24.33867
East Asia & Pacific,2000,23.821
East Asia & Pacific,2001,23.16444
East Asia & Pacific,2002,22.35288
East Asia & Pacific,2003,20.43202
East Asia & Pacific,2004,20.82951
East Asia & Pacific,2005,20.21877
East Asia & Pacific,2006,19.6508
East Asia & Pacific,2007,19.15573
East Asia & Pacific,2008,19.22901
East Asia & Pacific,2009,18.76306
East Asia & Pacific,2010,18.40429
East Asia & Pacific,2011,18.29799
East Asia & Pacific,2012,18.24173
East Asia & Pacific,2013,17.73742
East Asia & Pacific,2014,17.43074
East Asia & Pacific,2015,17.20192
East Asia & Pacific,2016,16.96202
East Asia & Pacific,2017,17.41387
East Asia & Pacific,2018,17.53589
Europe & Central Asia,1983,19.6361
Europe & Central Asia,1984,19.65762
Europe & Central Asia,1985,19.43171
Europe & Central Asia,1986,19.29285
Europe & Central Asia,1987,19.27981
Europe & Central Asia,1988,19.12836
Europe & Central Asia,1989,18.84906
Europe & Central Asia,1990,18.58735
Europe & Central Asia,1991,18.26946
Europe & Central Asia,1992,17.93192
Europe & Central Asia,1993,17.47102
Europe & Central Asia,1994,17.11805
Europe & Central Asia,1995,17.33348
Europe & Central Asia,1996,17.35645
Europe & Central Asia,1997,17.2426
Europe & Central Asia,1998,17.15111
Europe & Central Asia,1999,16.9551
Europe & Central Asia,2000,16.53301
Europe & Central Asia,2001,16.20312
Europe & Central Asia,2002,16.02089
Europe & Central Asia,2003,15.91851
Europe & Central Asia,2004,15.80889
Europe & Central Asia,2005,15.55318
Europe & Central Asia,2006,15.39496
Europe & Central Asia,2007,15.05574
Europe & Central Asia,2008,14.93745
Europe & Central Asia,2009,14.81432
Europe & Central Asia,2010,14.71334
Europe & Central Asia,2011,14.64212
Europe & Central Asia,2012,14.77627
Europe & Central Asia,2013,14.9614
Europe & Central Asia,2014,14.92689
Europe & Central Asia,2015,14.75172
Europe & Central Asia,2016,14.69603
Europe & Central Asia,2017,14.85681
Europe & Central Asia,2018,14.86965
North America,1983,14.19484
North America,1984,14.18662
North America,1985,14.30207
North America,1986,14.40356
North America,1987,14.65411
North America,1988,14.85117
North America,1989,15.06019
North America,1990,15.31543
North America,1991,15.53164
North America,1992,15.77224
North America,1993,16.08373
North America,1994,16.06418
North America,1995,16.17686
North America,1996,16.0729
North America,1997,15.96812
North America,1998,15.853
North America,1999,15.56107
North America,2000,15.19476
North America,2001,15.59849
North America,2002,15.02581
North America,2003,15.0115
North America,2004,14.44503
North America,2005,14.35163
North America,2006,14.05834
North America,2007,14.04042
North America,2008,13.93131
North America,2009,14.10519
North America,2010,13.83688
North America,2011,14.49486
North America,2012,14.62766
North America,2013,14.65794
North America,2014,14.73938
North America,2015,14.66827
North America,2016,14.5456
North America,2017,14.42705
North America,2018,14.42524
South Asia,1983,42.05844
South Asia,1984,41.6558
South Asia,1985,41.61673
South Asia,1986,41.62096
South Asia,1987,41.62835
South Asia,1988,42.23038
South Asia,1989,42.26232
South Asia,1990,42.3503
South Asia,1991,42.13674
South Asia,1992,41.9359
South Asia,1993,41.69417
South Asia,1994,41.50884
South Asia,1995,41.25163
South Asia,1996,40.9494
South Asia,1997,40.61478
South Asia,1998,40.29641
South Asia,1999,40.04525
South Asia,2000,39.87987
South Asia,2001,40.1594
South Asia,2002,40.73892
South Asia,2003,41.0148
South Asia,2004,40.99374
South Asia,2005,40.78047
South Asia,2006,40.62981
South Asia,2007,40.32514
South Asia,2008,39.30997
South Asia,2009,38.23183
South Asia,2010,37.15236
South Asia,2011,35.84928
South Asia,2012,35.8043
South Asia,2013,33.48807
South Asia,2014,32.788
South Asia,2015,32.7214
South Asia,2016,35.55419
South Asia,2017,33.24849
South Asia,2018,33.24669
Sub-Saharan Africa,1983,36.99026
Sub-Saharan Africa,1984,36.88924
Sub-Saharan Africa,1985,36.97005
Sub-Saharan Africa,1986,36.69128
Sub-Saharan Africa,1987,37.09195
Sub-Saharan Africa,1988,36.67471
Sub-Saharan Africa,1989,35.39976
Sub-Saharan Africa,1990,36.18189
Sub-Saharan Africa,1991,36.14438
Sub-Saharan Africa,1992,36.09621
Sub-Saharan Africa,1993,36.6168
Sub-Saharan Africa,1994,37.79622
Sub-Saharan Africa,1995,38.17957
Sub-Saharan Africa,1996,38.15706
Sub-Saharan Africa,1997,40.67384
Sub-Saharan Africa,1998,41.15776
Sub-Saharan Africa,1999,41.08075
Sub-Saharan Africa,2000,42.28521
Sub-Saharan Africa,2001,42.44817
Sub-Saharan Africa,2002,43.13351
Sub-Saharan Africa,2003,42.42988
Sub-Saharan Africa,2004,42.63169
Sub-Saharan Africa,2005,42.76424
Sub-Saharan Africa,2006,43.41366
Sub-Saharan Africa,2007,44.30129
Sub-Saharan Africa,2008,43.81452
Sub-Saharan Africa,2009,43.17023
Sub-Saharan Africa,2010,41.61294
Sub-Saharan Africa,2011,40.82243
Sub-Saharan Africa,2012,42.22734
Sub-Saharan Africa,2013,38.79557
Sub-Saharan Africa,2014,37.98205
Sub-Saharan Africa,2015,37.50596
Sub-Saharan Africa,2016,37.50599
Sub-Saharan Africa,2017,37.36845
Sub-Saharan Africa,2018,37.36194
World,1983,27.42866
World,1984,27.23172
World,1985,27.14291
World,1986,26.93052
World,1987,26.83477
World,1988,26.6785
World,1989,26.25206
World,1990,26.21584
World,1991,26.15986
World,1992,26.12866
World,1993,26.13342
World,1994,26.20764
World,1995,26.29711
World,1996,26.31457
World,1997,26.47088
World,1998,26.61422
World,1999,26.55149
World,2000,26.30914
World,2001,26.0185
World,2002,25.82453
World,2003,25.25962
World,2004,25.39072
World,2005,25.24855
World,2006,25.14194
World,2007,25.04689
World,2008,24.97171
World,2009,24.68045
World,2010,24.31042
World,2011,24.11758
World,2012,24.19696
World,2013,23.55038
World,2014,23.29472
World,2015,23.10596
World,2016,23.44392
World,2017,23.38904
World,2018,23.44631
